"code","size","source","is_dup"
"ALDN-265","5.09","E盘日本骑兵","0"
"ALDN-270","6.16","E盘日本骑兵","0"
"ALDN-272","5.6","E盘日本骑兵","0"
"ALDN-285","5.82","E盘日本骑兵","0"
"ALDN-297","4.97","E盘日本骑兵","0"
"ALDN-299","5.29","E盘日本骑兵","0"
"ALDN-300","5.67","E盘日本骑兵","0"
"ALDN-314","4.3","E盘日本骑兵","0"
"ALDN-321","5.62","F盘日本骑兵","0"
"ALDN-338","5.43","F盘日本骑兵","0"
"ALDN-340","4.81","F盘日本骑兵","0"
"ALDN-341","5.76","F盘日本骑兵","0"
"ALDN-348","5.97","F盘日本骑兵","0"
"ALDN-355","5.41","F盘日本骑兵","0"
"ALDN-357","6.1","F盘日本骑兵","0"
"ALDN-358","5.88","F盘日本骑兵","0"
"ALDN-360","5.06","F盘日本骑兵","0"
"ALDN-367","5.96","F盘日本骑兵","0"
"ALDN-370","5.61","F盘日本骑兵","0"
"ALDN-403","4.95","F盘日本骑兵","0"
"ALDN-412","5.65","F盘日本骑兵","0"
"ALDN-445","5.13","F盘日本骑兵","0"
"ALDN-480","6.04","F盘日本骑兵","0"
"ALDN-482","5.57","F盘日本骑兵","0"
"ALDN-506","-","115网盘数据","0"
"ALDN-516","-","115网盘数据","0"
"ALDN-519","-","115网盘数据","0"
"ALDN-546","-","115网盘数据","0"
"ALDN-550","-","115网盘数据","0"
"ANKK-001","2.62","E盘日本骑兵","0"
"ANKK-003","2.77","E盘日本骑兵","0"
"ANKK-006","2.52","E盘日本骑兵","0"
"ANKK-007","2.68","E盘日本骑兵","0"
"ANKK-008","2.6","E盘日本骑兵","0"
"ANKK-009","2.79","E盘日本骑兵","0"
"ANKK-013","2.65","E盘日本骑兵","0"
"ANKK-014","1.96","E盘日本骑兵","0"
"ANKK-015","2.8","E盘日本骑兵","0"
"ANKK-016","2.32","E盘日本骑兵","0"
"ANKK-018","2.66","E盘日本骑兵","0"
"ANKK-020","2.76","E盘日本骑兵","0"
"ANKK-021","2.4","E盘日本骑兵","0"
"ANKK-022","2.5","E盘日本骑兵","0"
"ANKK-024","2.87","E盘日本骑兵","0"
"ANKK-025","2.76","E盘日本骑兵","0"
"ANKK-028","2.77","E盘日本骑兵","0"
"ANKK-032","2.94","E盘日本骑兵","0"
"ANKK-034","2.68","E盘日本骑兵","0"
"ANKK-035","2.89","E盘日本骑兵","0"
"ANKK-036","2.73","E盘日本骑兵","0"
"ANKK-041","2.45","E盘日本骑兵","0"
"ANKK-044","2.73","E盘日本骑兵","0"
"ANKK-045","2.29","E盘日本骑兵","0"
"ANKK-049","3.32","E盘日本骑兵","0"
"ANKK-053","2.97","E盘日本骑兵","0"
"ANKK-055","2.71","E盘日本骑兵","0"
"ANKK-056","2.71","E盘日本骑兵","0"
"ANKK-058","2.93","E盘日本骑兵","0"
"AOZ-239","2.41","F盘日本骑兵","0"
"AOZ-244","1.52","E盘日本骑兵","0"
"AOZ-295","1.59","E盘日本骑兵","0"
"AOZ-310","7.81","E盘日本骑兵","0"
"AOZ-324","7.45","F盘日本骑兵","0"
"AP-238","1.24","F盘日本骑兵","0"
"AP-300","1.84","F盘日本骑兵","0"
"AP-423","4.05","F盘日本骑兵","0"
"AP-424","5.08","F盘日本骑兵","0"
"AP-444","7.04","F盘日本骑兵","0"
"AP-602","8.49","F盘日本骑兵","0"
"AP-679","8.39","E盘日本骑兵","0"
"AP-747","8.99","F盘日本骑兵","0"
"APNS-096","6.68","E盘日本骑兵","0"
"APNS-099","5.1","F盘日本骑兵","0"
"APNS-235","4.93","E盘日本骑兵","0"
"ATFB-323","2.23","F盘日本骑兵","0"
"ATFB-342","6.62","F盘日本骑兵","0"
"ATFB-347","3.7","F盘日本骑兵","0"
"ATID-273","5.78","E盘日本骑兵","0"
"ATID-299","4.7","E盘日本骑兵","0"
"ATID-306","5.92","E盘日本骑兵","0"
"ATID-315","5.78","E盘日本骑兵","0"
"ATID-327","5.47","E盘日本骑兵","0"
"ATID-329","4.61","E盘日本骑兵","0"
"ATID-331","6.1","E盘日本骑兵","0"
"ATID-339","3.84","E盘日本骑兵","0"
"ATID-347","5.43","E盘日本骑兵","0"
"ATID-352","4.74","E盘日本骑兵","0"
"ATID-362","5.04","E盘日本骑兵","0"
"ATID-366","5.84","E盘日本骑兵","0"
"ATID-376","4.89","E盘日本骑兵","0"
"ATID-397","5.09","E盘日本骑兵","0"
"ATID-433","5.62","E盘日本骑兵","0"
"ATID-444","5.83","E盘日本骑兵","0"
"ATID-450","5.05","F盘日本骑兵","0"
"ATID-454","5.01","E盘日本骑兵","0"
"ATID-459","5.23","F盘日本骑兵","0"
"ATID-470","5.19","F盘日本骑兵","0"
"ATID-492","4.84","E盘日本骑兵","0"
"ATID-561","4.9","E盘日本骑兵","0"
"ATID-563","4.76","F盘日本骑兵","0"
"ATID-566","4.82","E盘日本骑兵","0"
"ATID-573","5.12","E盘日本骑兵","0"
"ATID-590","4.78","E盘日本骑兵","0"
"ATID-613","9.5","F盘日本骑兵","0"
"ATID-637","6.75","F盘日本骑兵","0"
"ATID-650","-","115网盘数据","0"
"AVOP-059","5.05","F盘日本骑兵","0"
"AVOP-072","9.78","E盘日本骑兵","0"
"AVOP-237","4.57","E盘日本骑兵","0"
"AVOP-249","5.91","F盘日本骑兵","0"
"AVOP-331","5.87","F盘日本骑兵","0"
"AVOP-416","5.95","E盘日本骑兵","0"
"AVSA-096","5.38","E盘日本骑兵","0"
"AVSA-155","4.74","E盘日本骑兵","0"
"AVSA-182","5.34","E盘日本骑兵","0"
"AVSA-211","10.6","E盘日本骑兵","0"
"AVSA-258","4.72","E盘日本骑兵","0"
"AVSA-269","6.46","E盘日本骑兵","0"
"AVSA-271","5.23","E盘日本骑兵","0"
"AVSA-272","5.13","E盘日本骑兵","0"
"AVSA-291","4.93","E盘日本骑兵","0"
"AVSA-295","5.72","F盘日本骑兵","0"
"AVSA-303","4.87","E盘日本骑兵","0"
"AVSA-309","5.36","E盘日本骑兵","0"
"AVSA-310","5.13","E盘日本骑兵","0"
"AVSA-318","5.62","F盘日本骑兵","0"
"AVSA-328","6.32","F盘日本骑兵","0"
"AVSA-336","5.6","F盘日本骑兵","0"
"AVSA-352","5.5","F盘日本骑兵","0"
"AVSA-356","6.17","F盘日本骑兵","0"
"AVSA-359","5.92","F盘日本骑兵","0"
"AVSA-377","5.4","F盘日本骑兵","0"
"AVSA-389","6.7","F盘日本骑兵","0"
"AVSA-402","-","115网盘数据","0"
"AVSA-412","-","115网盘数据","0"
"AWS-007","5.19","F盘日本骑兵","0"
"AWT-062","2.58","F盘日本骑兵","0"
"AWT-077","4.84","E盘日本骑兵","0"
"BBAN-036","4.01","F盘日本骑兵","0"
"BBAN-495","7.47","F盘日本骑兵","0"
"BBI-149","7.23","F盘日本骑兵","0"
"BBI-152","6.11","F盘日本骑兵","0"
"BDA-209","-","115网盘数据","0"
"BEAF-187","-","115网盘数据","0"
"BEAF-191","-","115网盘数据","0"
"BEB-016","5.22","E盘日本骑兵","0"
"BEB-095","2.0","F盘日本骑兵","0"
"BF-253","2.05","F盘日本骑兵","0"
"BF-528","5.26","E盘日本骑兵","0"
"BF-576","6.08","E盘日本骑兵","0"
"BF-606","4.91","E盘日本骑兵","0"
"BF-629","4.21","E盘日本骑兵","0"
"BF-644","5.73","E盘日本骑兵","0"
"BF-649","7.3","E盘日本骑兵","0"
"BF-675","4.89","E盘日本骑兵","0"
"BF-708","5.5","E盘日本骑兵","0"
"BHSP-024","5.23","E盘日本骑兵","0"
"BHSP-025","5.23","E盘日本骑兵","0"
"BIG-099","1.64","E盘日本骑兵","0"
"BIG-100","3.49","E盘日本骑兵","0"
